tissue,dye1,dye2,top-1-accuracy,top-5-accuracy
lung-lobes_4,PRO-SPC,CD31,0.2247,0.4944
lung-lobes_4,CD31,PRO-SPC,0.2921,0.5281
lung-lobes_4,PRO-SPC,CC10,0.2135,0.4382
lung-lobes_4,CC10,PRO-SPC,0.2135,0.5618
lung-lobes_4,PRO-SPC,KI67,0.1461,0.3483
lung-lobes_4,KI67,PRO-SPC,0.1573,0.4045
lung-lobes_4,CD31,CC10,0.236,0.4494
lung-lobes_4,CC10,CD31,0.2022,0.4719
lung-lobes_4,CD31,KI67,0.1685,0.4831
lung-lobes_4,KI67,CD31,0.2472,0.4719
lung-lobes_4,CC10,KI67,0.2022,0.3933
lung-lobes_4,KI67,CC10,0.191,0.427
lung-lesion_1,HE,PRO-SPC,0.0897,0.1923
lung-lesion_1,PRO-SPC,HE,0.1154,0.2564
lung-lesion_1,HE,KI67,0.0641,0.141
lung-lesion_1,KI67,HE,0.0641,0.1538
lung-lesion_1,HE,CC10,0.0769,0.2051
lung-lesion_1,CC10,HE,0.1282,0.1923
lung-lesion_1,PRO-SPC,KI67,0.1538,0.3205
lung-lesion_1,KI67,PRO-SPC,0.1282,0.2692
lung-lesion_1,PRO-SPC,CC10,0.2051,0.3205
lung-lesion_1,CC10,PRO-SPC,0.1538,0.359
lung-lesion_1,KI67,CC10,0.1795,0.3333
lung-lesion_1,CC10,KI67,0.141,0.2821
COAD_09,S2,S5,0.3333,0.7222
COAD_09,S5,S2,0.3472,0.6667
COAD_09,S2,S6,0.2361,0.4444
COAD_09,S6,S2,0.2361,0.375
COAD_09,S2,S1,0.3056,0.5972
COAD_09,S1,S2,0.3472,0.5694
COAD_09,S5,S6,0.25,0.5
COAD_09,S6,S5,0.1806,0.4444
COAD_09,S5,S1,0.4722,0.6667
COAD_09,S1,S5,0.3333,0.625
COAD_09,S6,S1,0.25,0.375
COAD_09,S1,S6,0.2083,0.3611
COAD_19,S5,S1,0.1694,0.3387
COAD_19,S1,S5,0.1774,0.5242
COAD_19,S5,S3,0.3226,0.5484
COAD_19,S3,S5,0.3629,0.5645
COAD_19,S5,S8,0.2984,0.5726
COAD_19,S8,S5,0.3468,0.5968
COAD_19,S5,S6,0.4274,0.6532
COAD_19,S6,S5,0.4194,0.7258
COAD_19,S1,S3,0.121,0.3871
COAD_19,S3,S1,0.1613,0.379
COAD_19,S1,S8,0.1129,0.2984
COAD_19,S8,S1,0.1694,0.3468
COAD_19,S1,S6,0.2016,0.4516
COAD_19,S6,S1,0.1452,0.3306
COAD_19,S3,S8,0.129,0.3871
COAD_19,S8,S3,0.1935,0.3952
COAD_19,S3,S6,0.371,0.5806
COAD_19,S6,S3,0.3629,0.621
COAD_19,S8,S6,0.3871,0.6129
COAD_19,S6,S8,0.379,0.5887
lung-lobes_1,CD31,CC10,0.1531,0.3163
lung-lobes_1,CC10,CD31,0.0714,0.2755
lung-lobes_1,CD31,KI67,0.102,0.2857
lung-lobes_1,KI67,CD31,0.0816,0.2449
lung-lobes_1,CD31,PRO-SPC,0.1735,0.3776
lung-lobes_1,PRO-SPC,CD31,0.1429,0.4184
lung-lobes_1,CC10,KI67,0.0306,0.1224
lung-lobes_1,KI67,CC10,0.102,0.2551
lung-lobes_1,CC10,PRO-SPC,0.1327,0.2857
lung-lobes_1,PRO-SPC,CC10,0.1531,0.398
lung-lobes_1,KI67,PRO-SPC,0.0816,0.2245
lung-lobes_1,PRO-SPC,KI67,0.0102,0.1837
gastric_2,CD68,CD4,0.0482,0.2048
gastric_2,CD4,CD68,0.0723,0.1205
Total,,,0.2054,0.4136
