tissue,dye1,dye2,Nb of landmarks (dye 1),Nb of tiles (dye 2),top-1-accuracy,top-5-accuracy,time (h:m:s),Time to get patches (dye2),Features extraction time (dye2),Comparison time
lung-lobes_2,CD31,PRO-SPC,107,8562,0.813,0.925,0:10:31.572846,0:00:16.377450,0:09:44.958535,0:00:05.680989
lung-lobes_2,CD31,CC10,107,8461,0.486,0.664,0:10:03.705780,0:00:16.697816,0:09:27.672082,0:00:05.402902
lung-lobes_2,CD31,KI67,107,8255,0.271,0.458,0:09:42.785598,0:00:14.518908,0:09:09.223192,0:00:05.350037
lung-lobes_2,PRO-SPC,CC10,107,8461,0.673,0.813,0:09:59.621434,0:00:17.165177,0:09:23.410369,0:00:05.453252
lung-lobes_2,PRO-SPC,KI67,107,8255,0.234,0.439,0:09:37.298367,0:00:14.928464,0:09:03.004465,0:00:05.294893
lung-lobes_2,CC10,KI67,107,8255,0.271,0.449,0:09:36.321894,0:00:14.596727,0:09:03.251783,0:00:05.277923
kidney_2,MAS,PAS,15,4453,0.267,0.333,0:05:21.791134,0:00:18.761848,0:04:55.000860,0:00:01.978989
kidney_5,MAS,PAS,48,2570,0.292,0.667,0:03:13.421965,0:00:13.925492,0:02:50.883067,0:00:01.328926
kidney_1,MAS,PAS,13,5659,0.385,0.538,0:06:50.538339,0:00:26.911877,0:06:14.229800,0:00:02.469673
mice-kidney_1,CD31,SMA,131,6011,0.015,0.023,0:07:12.410740,0:00:14.679468,0:06:39.213893,0:00:04.245044
mice-kidney_1,CD31,PAS,131,6210,0.107,0.214,0:07:33.520218,0:00:21.881317,0:06:53.005287,0:00:04.393512
mice-kidney_1,CD31,CD31.129057244,131,6038,0.359,0.542,0:07:20.740480,0:00:23.527192,0:06:38.636826,0:00:04.312945
mice-kidney_1,CD31,PAS.129057758,131,6074,0.115,0.206,0:07:14.786258,0:00:14.094678,0:06:42.080800,0:00:04.298807
mice-kidney_1,CD31,PAS.129057595,131,6824,0.137,0.221,0:08:03.974086,0:00:12.642542,0:07:32.168985,0:00:04.698524
mice-kidney_1,SMA,PAS,131,6210,0.176,0.244,0:07:30.329615,0:00:22.145948,0:06:49.432475,0:00:04.391623
mice-kidney_1,SMA,CD31.129057244,131,6038,0.122,0.221,0:07:21.494383,0:00:23.997421,0:06:39.125898,0:00:04.152029
mice-kidney_1,SMA,PAS.129057758,131,6074,0.107,0.267,0:07:13.704919,0:00:14.447743,0:06:40.812830,0:00:04.190197
mice-kidney_1,SMA,PAS.129057595,131,6824,0.046,0.191,0:08:03.135077,0:00:12.639854,0:07:31.343757,0:00:04.815644
mice-kidney_1,PAS,CD31.129057244,131,6038,0.076,0.13,0:07:21.052132,0:00:23.755363,0:06:38.018891,0:00:04.273495
mice-kidney_1,PAS,PAS.129057758,131,6074,0.58,0.71,0:07:13.664107,0:00:14.391574,0:06:40.145129,0:00:04.302644
mice-kidney_1,PAS,PAS.129057595,131,6824,0.244,0.412,0:08:04.452736,0:00:12.726669,0:07:31.693448,0:00:04.825815
mice-kidney_1,CD31.129057244,PAS.129057758,131,6074,0.229,0.405,0:07:15.522321,0:00:14.297187,0:06:41.792614,0:00:04.317773
mice-kidney_1,CD31.129057244,PAS.129057595,131,6824,0.092,0.16,0:08:28.229246,0:00:12.813182,0:07:55.430128,0:00:04.777687
mice-kidney_1,PAS.129057758,PAS.129057595,131,6824,0.191,0.275,0:07:09.948158,0:00:12.804581,0:06:37.014884,0:00:04.398226
COAD_15,S2,S5,163,11783,0.466,0.693,0:13:12.466648,0:00:31.713393,0:12:12.406574,0:00:09.293702
COAD_12,S5,S6,71,8071,0.747,0.859,0:08:35.572067,0:00:23.654904,0:07:57.184251,0:00:04.122428
COAD_12,S5,S1,71,7765,0.465,0.634,0:08:39.664817,0:00:21.045885,0:08:04.223822,0:00:04.965194
