tissue,dye1,dye2,Nb of landmarks (dye 1),Nb of tiles (dye 2),top-1-accuracy,top-5-accuracy,time (h:m:s),Time to get patches (dye2),Features extraction time (dye2),Comparison time
lung-lobes_2,CD31,PRO-SPC,107,8562,0.654,0.748,0:02:08.273413,0:00:18.360610,0:01:24.730464,0:00:01.179637
lung-lobes_2,CD31,CC10,107,8461,0.271,0.411,0:01:46.270488,0:00:17.790942,0:01:19.509723,0:00:01.166518
lung-lobes_2,CD31,KI67,107,8255,0.159,0.308,0:01:41.650667,0:00:15.410283,0:01:17.490984,0:00:01.151263
lung-lobes_2,PRO-SPC,CC10,107,8461,0.421,0.608,0:01:50.439460,0:00:18.123979,0:01:23.205884,0:00:01.143153
lung-lobes_2,PRO-SPC,KI67,107,8255,0.121,0.271,0:01:46.546711,0:00:16.661606,0:01:21.257738,0:00:01.133111
lung-lobes_2,CC10,KI67,107,8255,0.168,0.28,0:01:45.483994,0:00:16.415148,0:01:20.581269,0:00:01.130602
kidney_2,MAS,PAS,15,4453,0.133,0.267,0:01:12.765488,0:00:21.324602,0:00:45.378993,0:00:00.355669
kidney_5,MAS,PAS,48,2570,0.208,0.396,0:00:47.320123,0:00:15.480283,0:00:26.790397,0:00:00.242603
kidney_1,MAS,PAS,13,5659,0.308,0.308,0:01:33.641427,0:00:30.003672,0:00:57.050398,0:00:00.465395
mice-kidney_1,CD31,SMA,131,6011,0.008,0.008,0:01:25.019267,0:00:16.357909,0:01:00.635375,0:00:00.889344
mice-kidney_1,CD31,PAS,131,6210,0.0,0.015,0:01:36.235307,0:00:24.721997,0:01:03.543868,0:00:00.934179
mice-kidney_1,CD31,CD31.129057244,131,6038,0.038,0.122,0:01:36.130892,0:00:26.468259,0:01:01.632546,0:00:00.885105
mice-kidney_1,CD31,PAS.129057758,131,6074,0.0,0.023,0:01:25.871319,0:00:16.111952,0:01:01.858495,0:00:00.889477
mice-kidney_1,CD31,PAS.129057595,131,6824,0.0,0.046,0:01:30.567678,0:00:14.139345,0:01:08.385285,0:00:00.990436
mice-kidney_1,SMA,PAS,131,6210,0.03,0.03,0:01:35.227160,0:00:24.830613,0:01:02.601433,0:00:00.917022
mice-kidney_1,SMA,CD31.129057244,131,6038,0.008,0.03,0:01:35.186060,0:00:26.313198,0:01:00.930740,0:00:00.925378
mice-kidney_1,SMA,PAS.129057758,131,6074,0.0,0.015,0:01:24.708737,0:00:15.894067,0:01:00.980126,0:00:00.923044
mice-kidney_1,SMA,PAS.129057595,131,6824,0.0,0.008,0:01:30.560591,0:00:14.101706,0:01:08.556985,0:00:00.998707
mice-kidney_1,PAS,CD31.129057244,131,6038,0.046,0.13,0:01:36.354870,0:00:26.142201,0:01:01.376806,0:00:00.962965
mice-kidney_1,PAS,PAS.129057758,131,6074,0.336,0.504,0:01:27.660762,0:00:16.266946,0:01:02.436835,0:00:00.926309
mice-kidney_1,PAS,PAS.129057595,131,6824,0.16,0.313,0:01:32.945015,0:00:14.569068,0:01:09.172979,0:00:01.015847
mice-kidney_1,CD31.129057244,PAS.129057758,131,6074,0.053,0.092,0:01:25.903902,0:00:15.905385,0:01:01.318899,0:00:00.924026
mice-kidney_1,CD31.129057244,PAS.129057595,131,6824,0.008,0.015,0:01:31.437635,0:00:14.015871,0:01:08.609894,0:00:01.013923
