tissue,dye1,dye2,Nb of landmarks (dye 1),Nb of tiles (dye 2),top-1-accuracy,top-5-accuracy,time (h:m:s),Time to get patches (dye2),Features extraction time (dye2),Comparison time
lung-lobes_2,CD31,KI67,107,2228,0.355,0.635,0:03:21.210110,0:00:15.432678,0:02:28.193557,0:00:02.415220
lung-lobes_2,KI67,CD31,107,2903,0.505,0.692,0:03:42.463097,0:00:12.275378,0:03:12.713753,0:00:02.672300
lung-lobes_2,CD31,PRO-SPC,107,2296,0.822,0.925,0:03:08.933413,0:00:16.680104,0:02:34.874464,0:00:02.743833
lung-lobes_2,PRO-SPC,CD31,107,2903,0.748,0.86,0:03:14.324810,0:00:11.336203,0:02:47.543718,0:00:02.879373
lung-lobes_2,CD31,CC10,107,2294,0.654,0.804,0:03:07.363884,0:00:18.861375,0:02:32.798714,0:00:03.011146
lung-lobes_2,CC10,CD31,107,2903,0.72,0.869,0:03:41.152618,0:00:11.538554,0:03:14.013857,0:00:02.922159
lung-lobes_2,KI67,PRO-SPC,107,2296,0.402,0.635,0:03:08.289888,0:00:18.316211,0:02:33.776914,0:00:02.590833
lung-lobes_2,PRO-SPC,KI67,107,2228,0.318,0.561,0:02:59.844122,0:00:16.163214,0:02:29.060974,0:00:02.228383
lung-lobes_2,KI67,CC10,107,2294,0.383,0.598,0:03:08.142450,0:00:19.039498,0:02:33.290774,0:00:02.391054
lung-lobes_2,CC10,KI67,107,2228,0.336,0.579,0:03:00.953885,0:00:16.252258,0:02:28.379154,0:00:02.366749
lung-lobes_2,PRO-SPC,CC10,107,2294,0.635,0.794,0:03:08.148984,0:00:19.636284,0:02:33.254902,0:00:02.806517
lung-lobes_2,CC10,PRO-SPC,107,2296,0.86,0.925,0:03:10.434668,0:00:17.982920,0:02:36.618604,0:00:02.574853
kidney_2,MAS,PAS,15,1481,0.533,0.733,0:02:12.108826,0:00:22.787644,0:01:42.272037,0:00:01.060061
kidney_2,PAS,MAS,15,1537,0.333,0.667,0:02:14.600158,0:00:21.506887,0:01:46.091818,0:00:01.095396
kidney_5,MAS,PAS,48,824,0.438,0.75,0:01:21.769257,0:00:16.345096,0:00:57.188002,0:00:00.811317
kidney_5,PAS,MAS,48,854,0.333,0.667,0:01:21.828628,0:00:14.207368,0:00:59.467860,0:00:00.626571
kidney_1,MAS,PAS,13,1746,0.385,0.846,0:02:40.335704,0:00:31.748657,0:01:59.926331,0:00:01.181948
kidney_1,PAS,MAS,13,1845,0.538,0.615,0:02:42.205088,0:00:28.212538,0:02:05.936267,0:00:01.366426
mice-kidney_1,CD31.129057244,CD31,131,1580,0.366,0.481,0:02:23.761992,0:00:18.304458,0:01:48.742733,0:00:01.833312
mice-kidney_1,CD31,CD31.129057244,131,1589,0.374,0.55,0:02:31.532197,0:00:26.725536,0:01:49.281430,0:00:01.891662
mice-kidney_1,CD31.129057244,SMA,131,1635,0.084,0.168,0:02:26.030818,0:00:17.348413,0:01:50.854279,0:00:02.305701
mice-kidney_1,SMA,CD31.129057244,131,1589,0.145,0.221,0:02:25.473061,0:00:26.460926,0:01:44.818516,0:00:01.756218
mice-kidney_1,CD31.129057244,PAS.129057595,131,1854,0.092,0.214,0:02:37.601102,0:00:14.352143,0:02:05.762090,0:00:02.231547
mice-kidney_1,PAS.129057595,CD31.129057244,131,1589,0.076,0.191,0:02:32.925834,0:00:26.401935,0:01:50.758396,0:00:02.126797
mice-kidney_1,CD31.129057244,PAS.129057758,131,1654,0.176,0.305,0:02:25.944754,0:00:16.479671,0:01:52.168804,0:00:02.039790
mice-kidney_1,PAS.129057758,CD31.129057244,131,1589,0.145,0.26,0:02:31.825636,0:00:27.672728,0:01:48.168364,0:00:01.979899
mice-kidney_1,CD31.129057244,PAS,131,1704,0.153,0.275,0:02:37.809748,0:00:25.166125,0:01:56.083979,0:00:01.724022
mice-kidney_1,PAS,CD31.129057244,131,1589,0.092,0.137,0:02:32.533187,0:00:26.605298,0:01:48.610139,0:00:02.102036
mice-kidney_1,CD31,SMA,131,1635,0.046,0.16,0:02:23.882034,0:00:17.088889,0:01:51.046820,0:00:02.066656
mice-kidney_1,SMA,CD31,131,1580,0.13,0.244,0:02:20.910825,0:00:17.531327,0:01:47.650905,0:00:01.908191
mice-kidney_1,CD31,PAS.129057595,131,1854,0.153,0.313,0:02:35.730665,0:00:14.379028,0:02:05.579078,0:00:02.380067
mice-kidney_1,PAS.129057595,CD31,131,1580,0.16,0.305,0:02:19.684348,0:00:17.520404,0:01:47.095043,0:00:01.873188
mice-kidney_1,CD31,PAS.129057758,131,1654,0.122,0.298,0:02:07.135191,0:00:16.305777,0:01:34.471545,0:00:02.632153
mice-kidney_1,PAS.129057758,CD31,131,1580,0.122,0.221,0:02:20.723048,0:00:17.506865,0:01:47.487137,0:00:02.069468
mice-kidney_1,CD31,PAS,131,1704,0.069,0.199,0:02:36.103889,0:00:24.819271,0:01:55.836279,0:00:02.118550
mice-kidney_1,PAS,CD31,131,1580,0.084,0.168,0:02:22.081907,0:00:18.308043,0:01:47.252396,0:00:02.166535
mice-kidney_1,SMA,PAS.129057595,131,1854,0.03,0.092,0:02:34.120688,0:00:13.761562,0:02:05.186032,0:00:01.853557
mice-kidney_1,PAS.129057595,SMA,131,1635,0.038,0.084,0:02:22.457805,0:00:16.503476,0:01:51.233289,0:00:01.632692
mice-kidney_1,SMA,PAS.129057758,131,1654,0.008,0.099,0:02:22.093424,0:00:15.526787,0:01:51.613477,0:00:01.678009
mice-kidney_1,PAS.129057758,SMA,131,1635,0.038,0.076,0:02:19.522465,0:00:15.866702,0:01:48.957785,0:00:01.592468
mice-kidney_1,SMA,PAS,131,1704,0.069,0.122,0:02:23.207069,0:00:22.875950,0:01:46.009179,0:00:01.558212
mice-kidney_1,PAS,SMA,131,1635,0.03,0.076,0:01:54.541365,0:00:13.026569,0:01:28.402694,0:00:01.434223
mice-kidney_1,PAS.129057595,PAS.129057758,131,1654,0.473,0.672,0:01:52.329297,0:00:12.046154,0:01:28.597532,0:00:01.442299
mice-kidney_1,PAS.129057758,PAS.129057595,131,1854,0.374,0.511,0:02:02.046310,0:00:10.723445,0:01:39.344014,0:00:01.591477
mice-kidney_1,PAS.129057595,PAS,131,1704,0.557,0.763,0:02:02.699811,0:00:19.003865,0:01:31.742159,0:00:01.466552
mice-kidney_1,PAS,PAS.129057595,131,1854,0.45,0.588,0:02:03.541596,0:00:10.878726,0:01:39.919141,0:00:01.578556
mice-kidney_1,PAS.129057758,PAS,131,1704,0.573,0.794,0:02:02.406689,0:00:18.652117,0:01:31.881534,0:00:01.450210
mice-kidney_1,PAS,PAS.129057758,131,1654,0.664,0.832,0:01:53.674910,0:00:12.216277,0:01:28.779768,0:00:01.412108
COAD_15,S5,S2,163,3554,0.73,0.871,0:03:53.845219,0:00:27.561830,0:03:09.137973,0:00:03.373991
COAD_15,S2,S5,163,3233,0.773,0.914,0:03:37.170968,0:00:27.045405,0:02:52.820711,0:00:03.031749
COAD_12,S6,S1,71,2157,0.775,0.915,0:02:24.165575,0:00:20.021745,0:01:55.146750,0:00:01.429714
COAD_12,S1,S6,71,2224,0.747,0.915,0:02:27.774879,0:00:20.001848,0:01:58.728458,0:00:01.445370
COAD_12,S6,S5,71,2450,0.803,0.944,0:02:44.107730,0:00:23.778512,0:02:11.056769,0:00:01.605533
COAD_12,S5,S6,71,2224,0.845,0.901,0:02:28.719477,0:00:20.338351,0:01:59.269861,0:00:01.430586
COAD_12,S6,S2,71,2328,0.93,0.958,0:02:33.149332,0:00:18.795153,0:02:05.132945,0:00:01.543098
COAD_12,S2,S6,71,2224,0.944,0.958,0:02:29.381228,0:00:20.336175,0:01:59.562558,0:00:01.773753
COAD_12,S1,S5,71,2450,0.718,0.859,0:02:43.291434,0:00:23.516191,0:02:10.540977,0:00:01.610623
COAD_12,S5,S1,71,2157,0.662,0.803,0:02:24.020303,0:00:19.968493,0:01:54.938147,0:00:01.411809
COAD_12,S1,S2,71,2328,0.789,0.901,0:02:33.462884,0:00:18.811251,0:02:05.249045,0:00:01.862966
COAD_12,S2,S1,71,2157,0.873,0.944,0:02:26.290662,0:00:20.194607,0:01:56.932725,0:00:01.434066
COAD_12,S5,S2,71,2328,0.887,0.958,0:02:37.770377,0:00:18.977754,0:02:09.166626,0:00:01.594721
COAD_12,S2,S5,71,2450,0.944,0.986,0:02:54.387473,0:00:25.015619,0:02:17.560177,0:00:01.782167
