tissue,dye1,dye2,Nb of landmarks (dye 1),Nb of tiles (dye 2),top-1-accuracy,top-5-accuracy,time (h:m:s),Time to get patches (dye2),Features extraction time (dye2),Comparison time
lung-lobes_2,CD31,PRO-SPC,107,8562,0.692,0.794,0:03:12.386458,0:00:18.670790,0:02:26.442273,0:00:02.880188
lung-lobes_2,CD31,CC10,107,8461,0.421,0.579,0:02:53.327695,0:00:18.658552,0:02:22.004189,0:00:02.813542
lung-lobes_2,CD31,KI67,107,8255,0.318,0.458,0:02:46.571607,0:00:16.345465,0:02:17.859221,0:00:02.758801
lung-lobes_2,PRO-SPC,CC10,107,8461,0.551,0.72,0:02:52.502661,0:00:18.423405,0:02:21.901922,0:00:02.826332
lung-lobes_2,PRO-SPC,KI67,107,8255,0.206,0.411,0:02:47.113271,0:00:16.557826,0:02:18.407181,0:00:02.758907
lung-lobes_2,CC10,KI67,107,8255,0.178,0.383,0:02:46.195712,0:00:16.279937,0:02:18.058285,0:00:02.783893
kidney_2,MAS,PAS,15,4453,0.267,0.333,0:01:45.830904,0:00:21.456771,0:01:16.779685,0:00:00.946061
kidney_5,MAS,PAS,48,2570,0.229,0.5,0:01:07.848419,0:00:15.570726,0:00:45.355678,0:00:00.685015
kidney_1,MAS,PAS,13,5659,0.154,0.308,0:02:15.730965,0:00:30.244668,0:01:36.901440,0:00:01.215177
mice-kidney_1,CD31,SMA,131,6011,0.008,0.008,0:02:11.436546,0:00:16.428074,0:01:43.606968,0:00:02.362304
mice-kidney_1,CD31,PAS,131,6210,0.0,0.015,0:02:23.018853,0:00:25.082653,0:01:46.126457,0:00:02.331650
mice-kidney_1,CD31,CD31.129057244,131,6038,0.13,0.244,0:02:20.507813,0:00:26.128367,0:01:43.070374,0:00:02.224992
mice-kidney_1,CD31,PAS.129057758,131,6074,0.008,0.015,0:02:10.960773,0:00:15.872884,0:01:43.775783,0:00:02.257664
mice-kidney_1,CD31,PAS.129057595,131,6824,0.015,0.053,0:02:21.765773,0:00:14.159856,0:01:56.387165,0:00:02.465839
mice-kidney_1,SMA,PAS,131,6210,0.038,0.076,0:02:21.942682,0:00:24.523722,0:01:46.428205,0:00:02.273046
mice-kidney_1,SMA,CD31.129057244,131,6038,0.015,0.046,0:02:20.562773,0:00:26.291156,0:01:43.263790,0:00:02.215607
mice-kidney_1,SMA,PAS.129057758,131,6074,0.0,0.008,0:02:10.907638,0:00:15.808080,0:01:44.092652,0:00:02.227987
mice-kidney_1,SMA,PAS.129057595,131,6824,0.0,0.0,0:02:21.594134,0:00:13.910211,0:01:56.386992,0:00:02.494925
mice-kidney_1,PAS,CD31.129057244,131,6038,0.023,0.099,0:02:21.264826,0:00:26.267077,0:01:43.141676,0:00:02.232831
mice-kidney_1,PAS,PAS.129057758,131,6074,0.229,0.42,0:02:11.694814,0:00:15.883859,0:01:43.855657,0:00:02.244487
mice-kidney_1,PAS,PAS.129057595,131,6824,0.084,0.183,0:02:22.638117,0:00:13.999196,0:01:56.320194,0:00:02.531256
mice-kidney_1,CD31.129057244,PAS.129057758,131,6074,0.13,0.221,0:02:11.804812,0:00:15.813394,0:01:43.935378,0:00:02.194488
mice-kidney_1,CD31.129057244,PAS.129057595,131,6824,0.0,0.053,0:02:22.792050,0:00:14.116307,0:01:56.290758,0:00:02.471915
mice-kidney_1,PAS.129057758,PAS.129057595,131,6824,0.115,0.168,0:02:22.222715,0:00:13.946970,0:01:56.612550,0:00:02.481540
COAD_15,S2,S5,163,11783,0.276,0.491,0:04:12.851733,0:00:35.240990,0:03:20.125418,0:00:04.848226
COAD_12,S5,S6,71,8071,0.592,0.761,0:02:55.761607,0:00:26.441385,0:02:18.162182,0:00:02.341514
COAD_12,S5,S1,71,7765,0.394,0.662,0:02:49.205253,0:00:26.358209,0:02:11.938540,0:00:02.217422
COAD_12,S5,S2,71,8473,0.634,0.803,0:02:58.501253,0:00:24.206945,0:02:23.455484,0:00:02.411891
COAD_12,S6,S1,71,7765,0.465,0.732,0:02:48.782045,0:00:26.190742,0:02:12.343317,0:00:02.191273
COAD_12,S6,S2,71,8473,0.761,0.887,0:02:59.241014,0:00:24.476377,0:02:24.155751,0:00:02.363170
COAD_12,S1,S2,71,8473,0.422,0.578,0:02:59.227341,0:00:24.300545,0:02:24.299312,0:00:02.382800
lung-lobes_4,PRO-SPC,CD31,89,6300,0.629,0.775,0:02:13.163244,0:00:14.912985,0:01:48.026581,0:00:01.972172
lung-lobes_4,PRO-SPC,CC10,89,6525,0.539,0.73,0:02:20.479036,0:00:18.978290,0:01:51.027230,0:00:02.036002
lung-lobes_4,PRO-SPC,KI67,89,6274,0.281,0.427,0:02:09.837027,0:00:14.003085,0:01:45.864682,0:00:01.934906
lung-lobes_4,CD31,CC10,89,6525,0.303,0.607,0:02:19.793575,0:00:18.850295,0:01:50.546317,0:00:02.026120
lung-lobes_4,CD31,KI67,89,6274,0.258,0.382,0:02:11.986669,0:00:13.921804,0:01:47.752768,0:00:01.946532
lung-lobes_4,CC10,KI67,89,6274,0.258,0.371,0:02:10.984525,0:00:14.042499,0:01:46.547270,0:00:01.943761
COAD_13,S5,S7,93,7883,0.366,0.538,0:02:54.295311,0:00:29.236452,0:02:13.525289,0:00:02.413352
COAD_13,S5,S2,93,8334,0.462,0.688,0:03:01.119338,0:00:27.839650,0:02:21.808626,0:00:02.559571
COAD_13,S7,S2,93,8334,0.107,0.247,0:02:58.023033,0:00:27.726570,0:02:19.050830,0:00:02.564152
lung-lesion_1,HE,PRO-SPC,78,11573,0.115,0.167,0:03:38.132325,0:00:14.561616,0:03:12.434227,0:00:03.489199
lung-lesion_1,HE,KI67,78,11580,0.038,0.09,0:03:33.710313,0:00:12.864630,0:03:09.300273,0:00:03.762604
lung-lesion_1,HE,CC10,78,11707,0.167,0.295,0:03:41.209981,0:00:18.592396,0:03:11.452088,0:00:03.651554
lung-lesion_1,PRO-SPC,KI67,78,11580,0.154,0.205,0:03:32.988847,0:00:12.882298,0:03:08.937367,0:00:03.602811
lung-lesion_1,PRO-SPC,CC10,78,11707,0.333,0.513,0:03:41.876122,0:00:18.738458,0:03:11.878284,0:00:03.732986
lung-lesion_1,KI67,CC10,78,11707,0.115,0.256,0:03:41.650523,0:00:18.693822,0:03:11.554573,0:00:03.862162
breast_2,HE,HER2,50,11382,0.18,0.24,0:04:03.981196,0:00:41.430223,0:03:09.681095,0:00:03.384180
lung-lobes_3,PRO-SPC,KI67,80,7345,0.225,0.4,0:02:23.480368,0:00:12.781214,0:02:00.978960,0:00:02.081061
lung-lobes_3,PRO-SPC,CD31,80,7573,0.525,0.688,0:02:29.562288,0:00:13.645562,0:02:06.057497,0:00:02.118728
lung-lobes_3,PRO-SPC,CC10,80,7309,0.438,0.537,0:02:27.278450,0:00:15.342618,0:02:02.244020,0:00:02.075280
lung-lobes_3,KI67,CD31,80,7573,0.2,0.375,0:02:31.001626,0:00:13.726097,0:02:06.509708,0:00:02.258116
lung-lobes_3,KI67,CC10,80,7309,0.237,0.3,0:02:30.082940,0:00:16.326293,0:02:02.676193,0:00:02.155715
lung-lobes_3,CD31,CC10,80,7309,0.35,0.487,0:02:27.795925,0:00:15.254909,0:02:01.975663,0:00:02.116979
COAD_09,S2,S5,72,10042,0.597,0.833,0:03:32.386119,0:00:29.578203,0:02:48.686025,0:00:02.884318
COAD_09,S2,S6,72,8031,0.347,0.444,0:02:52.169144,0:00:26.708589,0:02:14.919799,0:00:02.192946
COAD_09,S2,S1,72,7499,0.653,0.806,0:02:41.907525,0:00:24.995484,0:02:06.654464,0:00:02.077880
COAD_09,S5,S6,72,8031,0.319,0.417,0:02:52.495486,0:00:26.945584,0:02:14.814941,0:00:02.276333
COAD_09,S5,S1,72,7499,0.444,0.625,0:02:41.177670,0:00:24.811648,0:02:06.058539,0:00:02.081554
COAD_09,S6,S1,72,7499,0.347,0.472,0:02:41.316432,0:00:24.990103,0:02:06.366632,0:00:02.064939
COAD_07,S2,S5,68,11398,0.632,0.779,0:03:50.000399,0:00:27.985432,0:03:09.340335,0:00:03.453261
